date_mm_dd,leap_day_index,base_seasonal_color,light_background,light_text,light_slider_accent,dark_background,dark_text,dark_slider_accent
01-01,1,#A9C7D8,#F0F5F8,#354140,#A9C7D8,#2E3836,#EFF5F8,#DBE7EF
01-02,2,#A8C6D6,#F0F5F8,#354140,#A8C6D6,#2E3736,#EFF5F8,#DAE7EE
01-03,3,#A7C5D5,#F0F5F8,#354140,#A7C5D5,#2D3736,#EFF4F7,#DAE6ED
01-04,4,#A7C4D3,#F0F5F7,#35413F,#A7C4D3,#2D3735,#EFF4F7,#DAE6EC
01-05,5,#A6C4D2,#F0F5F7,#35413F,#A6C4D2,#2D3735,#EFF4F7,#D9E6EC
01-06,6,#A5C3D0,#EFF5F7,#34403E,#A5C3D0,#2D3735,#EFF4F6,#D9E6EB
01-07,7,#A4C2CF,#EFF4F7,#34403E,#A4C2CF,#2D3735,#EEF4F6,#D8E5EB
01-08,8,#A3C1CD,#EFF4F6,#34403E,#A3C1CD,#2D3634,#EEF4F6,#D8E5EA
01-09,9,#A3C0CB,#EFF4F6,#34403D,#A3C0CB,#2D3634,#EEF3F6,#D8E4E9
01-10,10,#A2BFCA,#EFF4F6,#34403D,#A2BFCA,#2C3634,#EEF3F5,#D7E4E9
01-11,11,#A1BFC8,#EFF4F6,#33403D,#A1BFC8,#2C3633,#EEF3F5,#D7E4E8
01-12,12,#A0BEC7,#EFF4F5,#333F3C,#A0BEC7,#2C3633,#EEF3F5,#D7E3E7
01-13,13,#A0BDC5,#EFF4F5,#333F3C,#A0BDC5,#2C3633,#EEF3F4,#D7E3E6
01-14,14,#9FBCC4,#EEF3F5,#333F3C,#9FBCC4,#2C3633,#EDF3F4,#D6E2E6
01-15,15,#9EBBC2,#EEF3F4,#333F3B,#9EBBC2,#2C3532,#EDF3F4,#D6E2E5
01-16,16,#9DBAC1,#EEF3F4,#333E3B,#9DBAC1,#2C3532,#EDF2F4,#D5E2E5
01-17,17,#9CBABF,#EEF3F4,#323E3B,#9CBABF,#2B3532,#EDF2F3,#D5E2E4
01-18,18,#9CB9BE,#EEF3F4,#323E3A,#9CB9BE,#2B3532,#EDF2F3,#D5E1E3
01-19,19,#9BB8BC,#EEF3F3,#323E3A,#9BB8BC,#2B3531,#EDF2F3,#D4E1E2
01-20,20,#9AB7BA,#EDF3F3,#323E39,#9AB7BA,#2B3531,#ECF2F2,#D4E0E2
01-21,21,#99B6B9,#EDF2F3,#323D39,#99B6B9,#2B3531,#ECF2F2,#D4E0E1
01-22,22,#99B5B7,#EDF2F2,#323D39,#99B5B7,#2B3430,#ECF1F2,#D3DFE0
01-23,23,#98B5B6,#EDF2F2,#313D38,#98B5B6,#2B3430,#ECF1F2,#D3DFE0
01-24,24,#97B4B4,#EDF2F2,#313D38,#97B4B4,#2B3430,#ECF1F1,#D3DFDF
01-25,25,#96B3B3,#EDF2F2,#313D38,#96B3B3,#2A3430,#ECF1F1,#D2DFDE
01-26,26,#96B2B1,#EDF2F1,#313C37,#96B2B1,#2A342F,#ECF1F1,#D2DEDE
01-27,27,#95B1B0,#EDF1F1,#313C37,#95B1B0,#2A342F,#EBF1F0,#D2DEDD
01-28,28,#94B0AE,#ECF1F1,#303C37,#94B0AE,#2A332F,#EBF0F0,#D1DDDC
01-29,29,#93B0AD,#ECF1F1,#303C36,#93B0AD,#2A332F,#EBF0F0,#D1DDDC
01-30,30,#93AFAB,#ECF1F0,#303C36,#93AFAB,#2A332E,#EBF0EF,#D1DDDB
01-31,31,#92AEAA,#ECF1F0,#303C36,#92AEAA,#2A332E,#EBF0EF,#D0DCDB
02-01,32,#91ADA8,#ECF1F0,#303B35,#91ADA8,#29332E,#EBF0EF,#D0DCDA
02-02,33,#90ACA6,#ECF1EF,#303B35,#90ACA6,#29332D,#EAF0EE,#CFDBD9
02-03,34,#8FABA4,#EBF0EF,#2F3B34,#8FABA4,#29332D,#EAEFEE,#CFDBD8
02-04,35,#8EAAA2,#EBF0EF,#2F3B34,#8EAAA2,#29322D,#EAEFEE,#CFDBD7
02-05,36,#8CA9A1,#EBF0EE,#2F3A34,#8CA9A1,#29322C,#EAEFEE,#CEDAD7
02-06,37,#8BA89F,#EBF0EE,#2E3A33,#8BA89F,#28322C,#EAEFED,#CDDAD6
02-07,38,#8AA79D,#EBF0EE,#2E3A33,#8AA79D,#28322C,#E9EFED,#CDD9D5
02-08,39,#89A59B,#EAEFED,#2E3932,#89A59B,#28312B,#E9EEEC,#CCD8D4
02-09,40,#88A499,#EAEFED,#2E3932,#88A499,#28312B,#E9EEEC,#CCD8D3
02-10,41,#87A397,#EAEFED,#2D3931,#87A397,#28312B,#E9EEEC,#CBD8D2
02-11,42,#86A296,#EAEFEC,#2D3931,#86A296,#28312A,#E8EEEB,#CBD7D2
02-12,43,#85A194,#EAEFEC,#2D3931,#85A194,#27312A,#E8EEEB,#CBD7D1
02-13,44,#84A092,#E9EEEC,#2D3830,#84A092,#27312A,#E8EDEB,#CAD6D0
02-14,45,#829F90,#E9EEEB,#2C3830,#829F90,#273029,#E8EDEA,#C9D6CF
02-15,46,#819E8E,#E9EEEB,#2C382F,#819E8E,#273029,#E8EDEA,#C9D5CE
02-16,47,#809D8C,#E9EEEB,#2C382F,#809D8C,#263029,#E7EDE9,#C8D5CD
02-17,48,#7F9C8B,#E8EEEA,#2C372E,#7F9C8B,#263028,#E7EDE9,#C8D4CD
02-18,49,#7E9B89,#E8EDEA,#2B372E,#7E9B89,#263028,#E7ECE9,#C7D4CC
02-19,50,#7D9A87,#E8EDEA,#2B372E,#7D9A87,#262F28,#E7ECE8,#C7D4CB
02-20,51,#7C9985,#E8EDE9,#2B372D,#7C9985,#262F27,#E7ECE8,#C6D3CA
02-21,52,#7B9883,#E8EDE9,#2B362D,#7B9883,#262F27,#E6ECE8,#C6D3C9
02-22,53,#7A9681,#E7EDE9,#2A362C,#7A9681,#252F27,#E6EBE7,#C6D2C8
02-23,54,#799580,#E7ECE8,#2A362C,#799580,#252F26,#E6EBE7,#C5D1C8
02-24,55,#77947E,#E7ECE8,#2A352B,#77947E,#252E26,#E6EBE7,#C4D1C7
02-25,56,#76937C,#E7ECE8,#2A352B,#76937C,#252E26,#E5EBE6,#C4D0C6
02-26,57,#75927A,#E7ECE7,#29352A,#75927A,#242E25,#E5EBE6,#C3D0C5
02-27,58,#749178,#E6ECE7,#29352A,#749178,#242E25,#E5EAE6,#C3D0C4
02-28,59,#739077,#E6EBE7,#29352A,#739077,#242E25,#E5EAE5,#C2CFC4
02-29,60,#728F75,#E6EBE6,#293429,#728F75,#242D24,#E4EAE5,#C2CFC3
03-01,61,#718E73,#E6EBE6,#283429,#718E73,#242D24,#E4EAE5,#C1CEC2
03-02,62,#6E8C71,#E5EBE6,#283428,#6E8C71,#232D24,#E4EAE4,#C0CDC1
03-03,63,#6C8B6E,#E5EBE5,#273328,#6C8B6E,#232D23,#E3E9E4,#BFCDC0
03-04,64,#69896C,#E4EAE5,#263327,#69896C,#222C23,#E3E9E3,#BECCBF
03-05,65,#67886A,#E4EAE4,#263327,#67886A,#222C22,#E2E9E3,#BDCCBE
03-06,66,#648668,#E3EAE4,#253226,#648668,#212C22,#E2E8E2,#BCCBBD
03-07,67,#618465,#E3E9E3,#253225,#618465,#212C22,#E1E8E2,#BACABC
03-08,68,#5F8363,#E2E9E3,#243125,#5F8363,#212B21,#E1E8E1,#BAC9BB
03-09,69,#5C8161,#E2E9E3,#233125,#5C8161,#202B21,#E0E7E1,#B8C9BA
03-10,70,#5A805E,#E2E9E2,#233124,#5A805E,#202B20,#E0E7E0,#B7C8B8
03-11,71,#577E5C,#E1E8E2,#223023,#577E5C,#1F2A20,#DFE7E0,#B6C7B8
03-12,72,#547D5A,#E1E8E1,#223023,#547D5A,#1F2A20,#DFE7DF,#B5C7B7
03-13,73,#527B58,#E0E8E1,#213022,#527B58,#1E2A1F,#DEE6DF,#B4C6B6
03-14,74,#4F7955,#E0E7E0,#202F22,#4F7955,#1E2A1F,#DEE6DE,#B3C5B4
03-15,75,#4C7853,#DFE7E0,#202F21,#4C7853,#1D291E,#DDE6DE,#B1C5B3
03-16,76,#4A7651,#DFE7DF,#1F2E21,#4A7651,#1D291E,#DDE5DE,#B0C4B2
03-17,77,#47754F,#DEE7DF,#1F2E20,#47754F,#1C291E,#DCE5DD,#AFC3B2
03-18,78,#44734C,#DEE6DF,#1E2E20,#44734C,#1C281D,#DCE5DD,#AEC2B0
03-19,79,#42724A,#DDE6DE,#1D2D1F,#42724A,#1B281D,#DBE5DC,#ADC2AF
03-20,80,#3F7048,#DDE6DE,#1D2D1F,#3F7048,#1B281C,#DBE4DC,#ACC1AE
03-21,81,#407148,#DDE6DE,#1D2D1F,#407148,#1B281C,#DBE4DC,#ACC1AE
03-22,82,#417248,#DDE6DE,#1D2D1F,#417248,#1B281C,#DBE5DC,#ADC2AE
03-23,83,#437348,#DDE6DE,#1E2E1F,#437348,#1C281C,#DCE5DC,#AEC2AF
03-24,84,#447449,#DEE6DE,#1E2E1F,#447449,#1C291C,#DCE5DC,#AEC3AF
03-25,85,#457549,#DEE7DE,#1E2E1F,#457549,#1C291C,#DCE5DC,#AEC3AF
03-26,86,#467649,#DEE7DE,#1E2E1F,#467649,#1C291C,#DCE5DC,#AFC4AF
03-27,87,#477749,#DEE7DE,#1F2F1F,#477749,#1C291D,#DCE6DC,#AFC4AF
03-28,88,#497849,#DFE7DE,#1F2F1F,#497849,#1D291D,#DDE6DC,#B0C5AF
03-29,89,#4A7949,#DFE7DE,#1F2F1F,#4A7949,#1D2A1D,#DDE6DC,#B1C5AF
03-30,90,#4B7A49,#DFE8DE,#1F2F1F,#4B7A49,#1D2A1D,#DDE6DC,#B1C6AF
03-31,91,#4C7B4A,#DFE8DE,#20301F,#4C7B4A,#1D2A1D,#DDE6DD,#B1C6B0
04-01,92,#4D7C4A,#DFE8DE,#20301F,#4D7C4A,#1D2A1D,#DDE7DD,#B2C7B0
04-02,93,#4E7D4A,#E0E8DF,#20301F,#4E7D4A,#1E2A1D,#DEE7DD,#B2C7B0
04-03,94,#507E4A,#E0E8DF,#21301F,#507E4A,#1E2A1D,#DEE7DD,#B3C8B0
04-04,95,#517F4A,#E0E9DF,#21311F,#517F4A,#1E2B1D,#DEE7DD,#B4C8B0
04-05,96,#52814A,#E0E9DF,#21311F,#52814A,#1E2B1D,#DEE8DD,#B4C9B0
04-06,97,#53824A,#E0E9DF,#21311F,#53824A,#1E2B1D,#DFE8DD,#B5C9B0
04-07,98,#54834A,#E1E9DF,#22321F,#54834A,#1F2B1D,#DFE8DD,#B5CAB1
04-08,99,#56844A,#E1E9DF,#22321F,#56844A,#1F2C1D,#DFE8DD,#B6CAB1
04-09,100,#57854B,#E1EADF,#223220,#57854B,#1F2C1D,#DFE8DD,#B6CBB1
04-10,101,#58864B,#E1EADF,#233220,#58864B,#1F2C1D,#E0E9DD,#B7CBB1
04-11,102,#59874B,#E2EADF,#233220,#59874B,#1F2C1D,#E0E9DD,#B7CCB1
04-12,103,#5A884B,#E2EADF,#233320,#5A884B,#202C1D,#E0E9DD,#B8CCB1
04-13,104,#5C894B,#E2EADF,#233320,#5C894B,#202C1D,#E0E9DD,#B8CDB1
04-14,105,#5D8A4B,#E2EBDF,#243320,#5D8A4B,#202D1D,#E1E9DD,#B9CDB2
04-15,106,#5E8B4B,#E2EBDF,#243320,#5E8B4B,#202D1D,#E1EADD,#B9CDB2
04-16,107,#608C4B,#E3EBDF,#243420,#608C4B,#212D1D,#E1EADD,#BACEB2
04-17,108,#618D4B,#E3EBDF,#253420,#618D4B,#212D1D,#E1EADE,#BBCEB2
04-18,109,#638E4C,#E3EBE0,#253420,#638E4C,#212D1D,#E2EADE,#BBCFB2
04-19,110,#658F4C,#E4ECE0,#263420,#658F4C,#222E1D,#E2EADE,#BCCFB2
04-20,111,#67904C,#E4ECE0,#263520,#67904C,#222E1E,#E2EBDE,#BDD0B3
04-21,112,#68914C,#E4ECE0,#263520,#68914C,#222E1E,#E3EBDE,#BED0B3
04-22,113,#6A924C,#E5ECE0,#273520,#6A924C,#222E1E,#E3EBDE,#BED1B3
04-23,114,#6C934C,#E5ECE0,#273520,#6C934C,#232E1E,#E3EBDE,#BFD1B3
04-24,115,#6E944C,#E5ECE0,#283620,#6E944C,#232E1E,#E4EBDE,#C0D2B3
04-25,116,#6F954D,#E5EDE0,#283620,#6F954D,#232F1E,#E4ECDE,#C1D2B3
04-26,117,#71964D,#E6EDE0,#283620,#71964D,#242F1E,#E4ECDE,#C1D2B4
04-27,118,#73974D,#E6EDE0,#293621,#73974D,#242F1E,#E5ECDE,#C2D3B4
04-28,119,#74984D,#E6EDE0,#293621,#74984D,#242F1E,#E5ECDE,#C3D3B4
04-29,120,#76984D,#E7EDE0,#293621,#76984D,#252F1E,#E5ECDE,#C3D3B4
04-30,121,#78994D,#E7EDE0,#2A3721,#78994D,#252F1E,#E6ECDF,#C4D4B4
05-01,122,#799A4D,#E7EEE0,#2A3721,#799A4D,#25301E,#E6EDDF,#C5D4B4
05-02,123,#7B9B4E,#E7EEE1,#2B3721,#7B9B4E,#26301E,#E6EDDF,#C6D5B4
05-03,124,#7D9C4E,#E8EEE1,#2B3721,#7D9C4E,#26301E,#E6EDDF,#C6D5B5
05-04,125,#7E9D4E,#E8EEE1,#2B3821,#7E9D4E,#26301E,#E7EDDF,#C7D6B5
05-05,126,#809E4E,#E8EEE1,#2C3821,#809E4E,#26301E,#E7EDDF,#C8D6B5
05-06,127,#829F4E,#E9EFE1,#2C3821,#829F4E,#27301E,#E7EEDF,#C9D6B5
05-07,128,#84A04E,#E9EFE1,#2D3821,#84A04E,#27311E,#E8EEDF,#CAD7B5
05-08,129,#85A14E,#E9EFE1,#2D3921,#85A14E,#27311E,#E8EEDF,#CAD7B5
05-09,130,#87A24E,#EAEFE1,#2D3921,#87A24E,#28311E,#E8EEDF,#CBD8B5
05-10,131,#89A34F,#EAEFE1,#2E3921,#89A34F,#28311F,#E9EEDF,#CCD8B6
05-11,132,#8AA44F,#EAEFE1,#2E3921,#8AA44F,#28311F,#E9EFDF,#CCD9B6
05-12,133,#8CA54F,#EAF0E1,#2F3A21,#8CA54F,#29321F,#E9EFE0,#CDD9B6
05-13,134,#8EA64F,#EBF0E1,#2F3A21,#8EA64F,#29321F,#EAEFE0,#CEDAB6
05-14,135,#8FA74F,#EBF0E1,#2F3A21,#8FA74F,#29321F,#EAEFE0,#CEDAB6
05-15,136,#91A84F,#EBF0E1,#303A21,#91A84F,#29321F,#EAEFE0,#CFDAB6
05-16,137,#93A850,#ECF0E2,#303A22,#93A850,#2A321F,#EBEFE0,#D0DAB7
05-17,138,#95A951,#ECF0E2,#313A22,#95A951,#2A321F,#EBEFE0,#D1DBB7
05-18,139,#97A952,#ECF0E2,#313A22,#97A952,#2B321F,#EBEFE0,#D2DBB8
05-19,140,#99AA53,#EDF1E2,#323B22,#99AA53,#2B321F,#ECF0E0,#D3DBB8
05-20,141,#9BAA53,#EDF1E2,#323B22,#9BAA53,#2B321F,#ECF0E0,#D3DBB8
05-21,142,#9DAB54,#EEF1E2,#333B23,#9DAB54,#2C3320,#ECF0E1,#D4DCB8
05-22,143,#9EAB55,#EEF1E2,#333B23,#9EAB55,#2C3320,#EDF0E1,#D5DCB9
05-23,144,#A0AC56,#EEF1E3,#333B23,#A0AC56,#2C3320,#EDF0E1,#D6DCB9
05-24,145,#A2AC57,#EEF1E3,#343B23,#A2AC57,#2D3320,#EDF0E1,#D7DCBA
05-25,146,#A4AD58,#EFF1E3,#343B23,#A4AD58,#2D3320,#EEF0E1,#D7DDBA
05-26,147,#A6AD59,#EFF1E3,#353B24,#A6AD59,#2D3320,#EEF0E2,#D8DDBA
05-27,148,#A8AE5A,#F0F1E3,#353C24,#A8AE5A,#2E3321,#EFF0E2,#D9DDBB
05-28,149,#AAAE5B,#F0F1E3,#363C24,#AAAE5B,#2E3321,#EFF0E2,#DADDBB
05-29,150,#ACAF5C,#F0F1E4,#363C24,#ACAF5C,#2E3321,#EFF1E2,#DBDDBC
05-30,151,#ADAF5C,#F0F1E4,#363C24,#ADAF5C,#2F3321,#F0F1E2,#DBDDBC
05-31,152,#AFB05D,#F1F2E4,#373C25,#AFB05D,#2F3421,#F0F1E2,#DCDEBC
06-01,153,#B1B05E,#F1F2E4,#373C25,#B1B05E,#2F3421,#F0F1E2,#DDDEBD
06-02,154,#B3B15F,#F2F2E4,#383C25,#B3B15F,#303421,#F1F1E3,#DEDEBD
06-03,155,#B5B160,#F2F2E4,#383C25,#B5B160,#303422,#F1F1E3,#DFDEBD
06-04,156,#B7B261,#F2F2E5,#393D25,#B7B261,#303422,#F2F1E3,#E0DFBE
06-05,157,#B9B262,#F3F2E5,#393D26,#B9B262,#313422,#F2F1E3,#E1DFBE
06-06,158,#BAB363,#F3F2E5,#3A3D26,#BAB363,#313422,#F2F1E3,#E1DFBF
06-07,159,#BCB363,#F3F2E5,#3A3D26,#BCB363,#313422,#F2F1E3,#E2DFBF
06-08,160,#BEB464,#F4F2E5,#3A3D26,#BEB464,#323422,#F3F2E4,#E3E0BF
06-09,161,#C0B465,#F4F2E5,#3B3D26,#C0B465,#323422,#F3F2E4,#E4E0C0
06-10,162,#C2B466,#F4F2E5,#3B3D27,#C2B466,#323423,#F4F2E4,#E5E0C0
06-11,163,#C4B567,#F5F2E6,#3C3D27,#C4B567,#333423,#F4F2E4,#E6E0C0
06-12,164,#C5B568,#F5F2E6,#3C3D27,#C5B568,#333423,#F4F2E4,#E6E0C1
06-13,165,#C7B669,#F5F3E6,#3D3E27,#C7B669,#333523,#F5F2E4,#E7E0C1
06-14,166,#C9B66A,#F6F3E6,#3D3E27,#C9B66A,#343523,#F5F2E5,#E8E0C2
06-15,167,#CBB76B,#F6F3E6,#3E3E28,#CBB76B,#343523,#F5F2E5,#E9E1C2
06-16,168,#CDB76B,#F6F3E6,#3E3E28,#CDB76B,#343523,#F6F2E5,#EAE1C2
06-17,169,#CFB86C,#F7F3E7,#3F3E28,#CFB86C,#353524,#F6F2E5,#EBE1C3
06-18,170,#D0B86D,#F7F3E7,#3F3E28,#D0B86D,#353524,#F6F2E5,#EBE1C3
06-19,171,#D2B96E,#F7F3E7,#3F3E28,#D2B96E,#353524,#F7F2E5,#ECE2C3
06-20,172,#D4B96F,#F8F3E7,#403E29,#D4B96F,#363524,#F7F2E6,#EDE2C4
06-21,173,#D4B86E,#F8F3E7,#403E28,#D4B86E,#363524,#F7F2E5,#EDE1C3
06-22,174,#D3B76D,#F7F3E7,#403E28,#D3B76D,#363524,#F7F2E5,#ECE1C3
06-23,175,#D3B76C,#F7F3E7,#403E28,#D3B76C,#363524,#F7F2E5,#ECE1C3
06-24,176,#D3B66B,#F7F3E6,#403E28,#D3B66B,#363523,#F7F2E5,#ECE0C2
06-25,177,#D2B56A,#F7F2E6,#3F3D27,#D2B56A,#353423,#F7F2E5,#ECE0C2
06-26,178,#D2B469,#F7F2E6,#3F3D27,#D2B469,#353423,#F7F2E5,#ECE0C1
06-27,179,#D1B368,#F7F2E6,#3F3D27,#D1B368,#353423,#F7F1E4,#ECDFC1
06-28,180,#D1B366,#F7F2E6,#3F3D27,#D1B366,#353423,#F7F1E4,#ECDFC0
06-29,181,#D1B265,#F7F2E5,#3F3D26,#D1B265,#353422,#F7F1E4,#ECDFC0
06-30,182,#D0B164,#F7F2E5,#3F3C26,#D0B164,#353422,#F7F1E4,#EBDEBF
07-01,183,#D0B063,#F7F2E5,#3F3C26,#D0B063,#353422,#F7F1E4,#EBDEBF
07-02,184,#D0AF62,#F7F1E5,#3F3C26,#D0AF62,#353322,#F7F1E3,#EBDDBF
07-03,185,#CFAF61,#F7F1E5,#3F3C26,#CFAF61,#353322,#F6F1E3,#EBDDBE
07-04,186,#CFAE60,#F7F1E5,#3F3C25,#CFAE60,#353322,#F6F0E3,#EBDDBE
07-05,187,#CFAD5F,#F7F1E4,#3F3C25,#CFAD5F,#353322,#F6F0E3,#EBDDBD
07-06,188,#CEAC5E,#F7F1E4,#3F3B25,#CEAC5E,#353321,#F6F0E3,#EADCBD
07-07,189,#CEAB5D,#F7F1E4,#3F3B25,#CEAB5D,#353321,#F6F0E3,#EBDCBD
07-08,190,#CDAB5C,#F7F1E4,#3E3B24,#CDAB5C,#353321,#F6F0E2,#EADCBC
07-09,191,#CDAA5A,#F7F1E4,#3E3B24,#CDAA5A,#353321,#F6F0E2,#EADBBC
07-10,192,#CDA959,#F7F0E4,#3E3B24,#CDA959,#353221,#F6F0E2,#EADBBB
07-11,193,#CCA858,#F6F0E3,#3E3A24,#CCA858,#343220,#F6EFE2,#EADABB
07-12,194,#CCA757,#F6F0E3,#3E3A23,#CCA757,#343220,#F6EFE2,#EADABA
07-13,195,#CCA756,#F6F0E3,#3E3A23,#CCA756,#343220,#F6EFE1,#EADABA
07-14,196,#CBA655,#F6F0E3,#3E3A23,#CBA655,#343220,#F6EFE1,#E9DABA
07-15,197,#CBA554,#F6F0E3,#3E3A23,#CBA554,#343220,#F6EFE1,#E9D9B9
07-16,198,#CBA453,#F6F0E3,#3E3A23,#CBA453,#343220,#F6EFE1,#E9D9B9
07-17,199,#CAA351,#F6EFE2,#3E3922,#CAA351,#34311F,#F6EEE1,#E9D8B8
07-18,200,#CAA350,#F6EFE2,#3E3922,#CAA350,#34311F,#F6EEE0,#E9D8B8
07-19,201,#C9A24F,#F6EFE2,#3D3922,#C9A24F,#34311F,#F5EEE0,#E8D8B7
07-20,202,#C9A14E,#F6EFE2,#3E3922,#C9A14E,#34311F,#F5EEE0,#E9D8B7
07-21,203,#C9A04D,#F6EFE2,#3E3921,#C9A04D,#34311F,#F5EEE0,#E9D7B7
07-22,204,#C89F4D,#F6EFE2,#3D3821,#C89F4D,#34311F,#F5EEE0,#E8D7B7
07-23,205,#C89E4C,#F6EEE1,#3D3821,#C89E4C,#34301F,#F5EDE0,#E8D6B6
07-24,206,#C89D4C,#F6EEE1,#3D3821,#C89D4C,#34301E,#F5EDE0,#E8D6B6
07-25,207,#C89D4B,#F6EEE1,#3D3821,#C89D4B,#34301E,#F5EDE0,#E8D6B6
07-26,208,#C79C4B,#F6EEE1,#3D3821,#C79C4B,#34301E,#F5EDE0,#E8D5B6
07-27,209,#C79B4A,#F6EEE1,#3D3721,#C79B4A,#34301E,#F5EDDF,#E8D5B5
07-28,210,#C79A49,#F6EEE1,#3D3721,#C79A49,#34301E,#F5EDDF,#E8D5B5
07-29,211,#C69949,#F6EEE1,#3D3720,#C69949,#34301E,#F5EDDF,#E7D4B5
07-30,212,#C69848,#F6EDE1,#3D3720,#C69848,#342F1E,#F5ECDF,#E8D4B4
07-31,213,#C69748,#F6EDE1,#3D3720,#C69748,#342F1E,#F5ECDF,#E8D3B4
08-01,214,#C59647,#F5EDE1,#3D3620,#C59647,#332F1E,#F5ECDF,#E7D3B4
08-02,215,#C59547,#F5EDE0,#3D3620,#C59547,#332F1E,#F5ECDF,#E7D2B4
08-03,216,#C59546,#F5EDE0,#3D3620,#C59546,#332F1D,#F5ECDF,#E7D2B4
08-04,217,#C49445,#F5EDE0,#3D3620,#C49445,#332F1D,#F5ECDE,#E7D2B3
08-05,218,#C49345,#F5EDE0,#3D3620,#C49345,#332F1D,#F5EBDE,#E7D1B3
08-06,219,#C49244,#F5ECE0,#3D351F,#C49244,#332E1D,#F5EBDE,#E7D1B3
08-07,220,#C49144,#F5ECE0,#3D351F,#C49144,#332E1D,#F5EBDE,#E7D1B3
08-08,221,#C39043,#F5ECE0,#3C351F,#C39043,#332E1D,#F5EBDE,#E7D0B2
08-09,222,#C38F42,#F5ECE0,#3C351F,#C38F42,#332E1D,#F5EBDE,#E7D0B2
08-10,223,#C38E42,#F5ECE0,#3C351F,#C38E42,#332E1D,#F5EADE,#E7CFB2
08-11,224,#C28E41,#F5ECDF,#3C341F,#C28E41,#332E1D,#F4EADE,#E6CFB1
08-12,225,#C28D41,#F5EBDF,#3C341F,#C28D41,#332E1D,#F5EADE,#E6CFB1
08-13,226,#C28C40,#F5EBDF,#3C341F,#C28C40,#332D1C,#F5EADD,#E6CEB1
08-14,227,#C18B40,#F5EBDF,#3C341E,#C18B40,#332D1C,#F4EADD,#E6CEB1
08-15,228,#C18A3F,#F5EBDF,#3C341E,#C18A3F,#332D1C,#F4EADD,#E6CEB0
08-16,229,#C1893E,#F5EBDF,#3C331E,#C1893E,#332D1C,#F4EADD,#E6CDB0
08-17,230,#C0883E,#F5EBDF,#3C331E,#C0883E,#332D1C,#F4E9DD,#E6CDB0
08-18,231,#C0873D,#F5EADF,#3C331E,#C0873D,#332C1C,#F4E9DD,#E6CCB0
08-19,232,#C0863D,#F5EADF,#3C331E,#C0863D,#332C1C,#F4E9DD,#E6CCB0
08-20,233,#BF853C,#F5EADE,#3C321E,#BF853C,#332C1C,#F4E9DD,#E5CBAF
08-21,234,#BF843C,#F5EADE,#3C321E,#BF843C,#332C1C,#F4E9DD,#E5CBAF
08-22,235,#BF833B,#F5EADE,#3C321D,#BF833B,#332C1C,#F4E8DC,#E5CBAF
08-23,236,#BE823B,#F5E9DE,#3C321D,#BE823B,#332C1C,#F4E8DC,#E5CAAF
08-24,237,#BE813A,#F5E9DE,#3C321D,#BE813A,#332B1B,#F4E8DC,#E5CAAE
08-25,238,#BE803A,#F5E9DE,#3C311D,#BE803A,#332B1B,#F4E8DC,#E5C9AE
08-26,239,#BD7F39,#F5E9DE,#3B311D,#BD7F39,#322B1B,#F4E8DC,#E5C9AE
08-27,240,#BD7E38,#F5E9DE,#3B311D,#BD7E38,#322B1B,#F4E7DC,#E5C8AD
08-28,241,#BD7D38,#F5E9DE,#3B311D,#BD7D38,#332B1B,#F4E7DC,#E5C8AD
08-29,242,#BC7B37,#F5E8DD,#3B301C,#BC7B37,#322A1B,#F4E7DB,#E4C7AD
08-30,243,#BC7A37,#F5E8DD,#3B301C,#BC7A37,#322A1B,#F4E7DB,#E5C7AD
08-31,244,#BC7936,#F5E8DD,#3B301C,#BC7936,#322A1B,#F4E7DB,#E5C6AC
09-01,245,#BB7836,#F4E8DD,#3B301C,#BB7836,#322A1B,#F4E6DB,#E4C6AC
09-02,246,#BB7735,#F4E8DD,#3B2F1C,#BB7735,#322A1A,#F4E6DB,#E4C5AC
09-03,247,#BB7635,#F5E7DD,#3B2F1C,#BB7635,#322A1A,#F4E6DB,#E4C5AC
09-04,248,#BA7534,#F4E7DD,#3B2F1C,#BA7534,#32291A,#F4E6DB,#E4C5AB
09-05,249,#BA7434,#F4E7DD,#3B2F1C,#BA7434,#32291A,#F4E6DB,#E4C4AB
09-06,250,#BA7333,#F4E7DD,#3B2E1B,#BA7333,#32291A,#F4E5DB,#E4C4AB
